id,is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit,churn
8230,1,1,11.76,25,0.1,0,10.6,0.8,0,0
8255,1,0,9.85,34,0.0,0,43.8,7.1,0,1
8404,1,0,10.9,22,0.0,0,44.3,5.2,0,1
8492,1,1,11.72,26,1.43,0,53.1,7.6,0,0
8510,1,1,11.72,21,0.1,1,22.4,3.0,0,0
8668,0,0,8.46,20,0.0,0,5.1,0.4,0,1
8673,0,0,5.87,0,1.15,3,0.0,0.0,6,1
8691,1,0,11.7,20,1.61,0,13.1,0.6,0,0
8697,1,1,11.7,19,1.93,0,38.4,3.1,0,0
8752,1,0,11.69,21,0.27,0,166.0,11.0,0,0
8770,0,0,5.32,17,0.0,0,0.0,0.0,0,1
8779,1,0,11.68,25,0.33,0,36.3,2.0,0,0
8929,1,0,8.91,24,0.0,0,2.4,0.1,0,1
8942,1,1,11.66,22,0.83,3,15.4,1.8,0,0
8958,1,1,11.65,21,0.43,0,22.3,1.6,0,0
8975,1,1,11.65,10,1.16,0,50.2,6.3,0,0
9003,1,1,11.64,15,1.13,0,108.3,5.6,0,0
9013,1,0,11.64,12,1.02,2,34.6,1.7,0,0
9061,1,0,11.62,79,1.86,2,70.2,9.0,0,0
9080,1,0,11.62,20,0.76,0,13.6,0.9,0,0
9115,1,0,11.61,21,0.09,1,21.8,2.8,0,0
9157,1,1,11.6,21,0.44,0,44.3,3.1,0,0
9161,1,1,12.33,10,0.5,1,14.8,3.4,0,1
9167,1,1,11.6,15,1.64,0,15.0,1.3,0,0
9185,0,0,5.61,0,0.0,0,0.0,0.0,0,1
9211,1,0,11.59,20,1.0,0,69.6,4.1,0,0
9232,1,1,11.59,10,1.17,0,16.2,0.9,0,0
9291,1,0,9.46,19,0.0,0,2.2,0.2,0,1
9493,1,0,4.9,0,0.7,0,0.0,0.0,2,1
9572,1,1,11.49,10,1.22,0,16.2,2.8,0,0
9601,1,1,11.47,21,0.05,1,15.4,1.3,0,0
9607,1,0,7.78,0,0.0,0,22.3,1.6,0,1
9706,0,0,8.02,22,0.0,1,8.7,0.5,0,1
9791,1,0,6.1,45,0.0,2,0.0,0.0,1,1
9811,1,1,11.39,15,1.28,0,235.6,9.8,0,0
9821,0,0,6.06,22,0.65,1,0.0,0.0,0,1
9939,1,0,11.33,21,0.11,1,9.9,0.8,0,0
9991,1,1,11.3,21,0.21,0,51.8,4.3,0,0
10046,1,1,11.27,10,1.1,0,4.8,0.3,0,0
10091,1,1,11.24,56,0.13,1,118.9,9.5,0,0
10112,1,1,10.72,11,0.0,0,47.5,8.9,0,1
10301,1,0,6.94,23,0.0,0,16.6,2.2,0,1
10320,1,1,10.85,11,0.0,0,4.5,0.2,0,1
10336,1,0,11.13,37,1.62,0,74.9,8.8,0,0
10341,1,1,10.53,20,0.0,0,73.1,12.9,0,1
10359,1,1,11.12,10,1.42,1,47.5,5.7,0,0
10426,1,1,11.09,26,1.85,1,107.5,64.1,1,0
10584,1,1,11.01,20,0.02,3,168.9,26.3,0,0
10646,1,0,10.99,22,1.14,0,25.1,4.4,0,0
10728,1,1,10.95,15,1.3,0,13.2,1.3,0,0
10797,1,1,10.92,18,1.82,0,30.7,5.9,0,0
10807,0,0,4.49,14,0.0,0,0.0,0.0,2,1
10838,1,1,10.9,10,1.38,0,0.2,0.0,0,0
10929,1,1,10.85,15,1.34,0,18.2,1.1,0,0
11159,0,0,7.13,0,0.0,0,7.8,0.7,0,1
11195,1,0,10.77,25,1.76,1,28.0,2.9,0,0
11266,1,1,10.76,20,1.26,0,181.1,5.2,0,0
11370,1,0,9.37,25,0.0,0,31.8,1.5,0,1
11480,0,0,5.35,22,0.71,0,0.0,0.0,0,1
11502,1,1,6.35,22,0.0,0,0.0,0.0,0,1
11543,0,0,6.2,23,0.0,0,11.9,1.1,0,1
11694,1,0,10.74,25,0.17,0,103.2,10.2,0,0
11709,1,1,10.73,10,1.43,0,8.5,0.4,0,0
11849,1,0,10.73,24,1.84,0,53.6,2.3,0,0
12184,1,1,10.71,24,1.32,1,82.7,5.4,0,0
12190,0,0,4.16,16,0.0,0,0.0,0.0,0,1
12261,1,1,4.39,0,0.0,0,0.0,0.0,0,1
12265,0,0,5.95,21,0.0,0,0.0,0.0,0,1
12308,1,1,10.7,28,1.41,0,44.9,3.3,0,0
12338,0,0,5.78,0,0.24,1,0.8,0.1,6,1
12421,1,1,10.7,28,0.08,0,58.3,34.7,0,0
12642,1,1,10.68,22,1.07,0,61.7,3.2,0,0
12645,1,0,10.68,22,1.03,0,75.5,2.6,0,0
12752,0,0,4.31,19,1.56,0,0.0,0.0,0,1
12782,1,1,9.62,16,0.0,0,55.5,2.2,2,1
12813,1,0,8.77,17,0.0,0,2.2,0.2,0,1
12887,1,0,4.5,0,0.27,0,0.0,0.0,7,1
12978,1,1,10.65,10,1.15,0,56.8,7.4,0,0
13003,1,0,8.07,25,0.0,0,64.8,3.5,0,1
13017,1,1,8.62,6,0.0,0,51.2,2.6,0,1
13080,1,1,10.64,13,1.5,0,99.9,8.2,4,0
13134,1,1,10.64,25,0.12,0,99.0,4.5,0,0
13350,1,0,10.62,22,0.07,0,11.1,2.1,0,0
13379,1,0,10.61,10,1.89,0,202.0,16.8,0,0
13566,1,1,10.59,24,1.08,0,37.5,3.6,0,0
13569,1,1,11.42,17,1.23,0,14.8,1.9,0,1
13577,1,1,4.28,0,0.0,0,0.0,0.0,0,1
13588,1,0,8.78,25,0.0,2,44.0,4.7,0,1
13822,1,1,10.57,10,1.3,0,12.3,1.5,0,0
13890,1,0,5.65,36,0.23,0,0.0,0.0,0,1
14177,1,0,10.53,33,0.0,0,120.9,4.7,0,1
14229,0,0,5.57,0,0.29,0,0.0,0.0,1,1
14237,1,0,7.64,20,0.0,7,4.9,0.1,3,1
14472,1,0,10.52,18,1.62,0,86.6,7.9,0,0
14887,0,0,6.29,0,0.0,0,4.4,0.3,7,1
14924,1,0,6.27,22,0.0,0,11.6,0.6,0,1
15044,1,0,9.13,11,0.0,1,39.1,1.9,0,1
15073,1,1,10.39,32,1.17,0,154.2,5.4,0,0
15076,1,0,10.39,25,0.3,0,54.0,5.6,0,0
15345,1,1,10.35,15,1.27,0,45.5,4.7,0,0
15388,1,1,9.51,24,0.0,0,6.0,1.1,0,1
15503,1,0,10.32,20,0.79,0,386.3,17.0,0,0
15505,1,1,10.32,12,0.16,0,115.6,7.5,0,0
15567,1,0,10.31,20,1.16,0,6.8,0.4,0,0
15590,1,0,10.3,20,1.12,0,24.1,3.0,0,0
15629,1,1,10.3,12,0.24,1,69.4,4.0,0,0
15640,1,1,10.3,10,1.17,0,12.6,3.0,0,0
15686,0,0,4.55,23,0.06,0,0.0,0.0,0,1
15738,1,0,10.28,21,1.63,0,117.4,4.5,0,0
15817,1,0,8.22,25,0.0,0,45.9,2.1,0,1
15823,1,1,10.27,18,1.63,0,18.9,1.4,0,0
15900,1,0,10.25,22,1.18,0,40.2,4.1,0,0
15926,1,0,10.25,22,0.04,0,40.4,2.5,0,0
16025,1,1,10.24,20,1.67,0,8.0,0.8,0,0
16076,1,0,10.24,20,1.2,0,43.6,3.1,0,0
16090,1,0,8.16,24,0.0,0,42.1,3.3,0,1
16153,1,1,8.02,16,0.0,2,6.7,0.7,0,1
16179,1,0,9.02,28,0.0,0,74.4,3.7,0,1
16244,1,1,10.23,20,0.11,0,3.9,1.0,0,0
16276,1,1,10.23,15,0.13,1,104.0,10.1,0,0
16335,1,1,10.22,14,1.63,0,11.5,0.5,0,0
16490,1,0,10.22,21,0.39,0,5.0,0.2,0,0
16551,0,0,7.38,22,0.0,0,26.7,2.0,0,1
16562,1,1,10.22,12,0.13,0,56.9,4.0,0,0
16654,1,0,10.22,12,0.87,0,38.1,2.8,0,0
16831,1,1,10.19,20,0.08,0,49.9,5.9,0,0
16947,1,1,10.17,22,1.05,0,34.1,2.0,0,0
16980,1,1,10.16,25,1.95,0,92.3,8.4,0,0
16986,1,0,10.16,19,1.91,0,87.7,6.7,0,0
17153,1,1,10.13,13,1.74,0,4.8,1.4,0,0
17155,0,0,3.53,0,0.0,0,0.0,0.0,1,1
17255,1,1,10.12,17,1.75,0,30.8,0.9,0,0
17281,1,1,10.12,15,1.16,0,10.9,0.7,0,0
17283,1,1,10.12,10,1.17,0,3.2,0.2,0,0
17319,1,1,10.11,24,1.21,0,16.4,1.2,0,0
17473,0,0,3.93,22,0.0,0,0.0,0.0,0,1
17509,1,1,10.08,25,0.04,0,4.5,0.4,0,0
17531,1,1,10.07,21,0.25,0,85.3,6.0,0,0
17643,1,1,10.32,14,1.0,0,67.5,7.1,0,1
17717,1,0,10.05,19,1.84,0,48.4,1.5,0,0
17776,1,1,10.04,14,1.55,0,81.5,3.0,1,0
17887,1,1,10.03,17,1.66,0,129.3,5.4,0,0
17888,1,1,10.03,11,0.37,0,17.4,9.1,0,0
17967,1,0,9.6,21,0.0,0,48.5,10.4,0,1
18050,1,1,10.01,24,1.19,0,73.3,2.7,0,0
18341,1,0,7.88,26,0.0,0,49.8,1.8,0,1
18532,0,0,5.69,0,0.0,0,2.5,0.4,5,1
18630,1,1,9.51,22,0.0,0,15.5,0.5,0,1
18636,1,1,9.95,15,1.21,0,113.6,7.2,0,0
18639,1,0,9.95,22,0.83,0,13.6,0.5,0,0
18670,1,0,5.28,17,0.0,3,203.4,11.8,0,1
18738,1,0,4.7,0,0.0,0,0.0,0.0,0,1
18748,1,0,7.57,26,0.0,1,23.0,0.7,0,1
18800,1,0,9.93,26,1.35,0,0.1,0.0,0,0
18818,1,1,5.38,19,0.0,0,12.4,0.6,1,1
18855,1,1,9.92,11,1.53,0,0.3,0.0,0,0
18877,1,0,9.92,22,0.92,0,113.1,4.9,0,0
18893,1,0,9.92,25,0.25,0,4.3,0.2,0,0
18926,1,0,7.73,18,0.0,0,58.6,3.5,0,1
19085,1,1,9.9,15,1.19,0,82.4,4.2,0,0
19241,1,0,9.88,21,0.29,0,43.7,2.8,0,0
19309,1,1,9.88,10,1.1,4,81.5,4.9,0,0
19393,1,0,9.88,19,0.43,0,28.7,1.2,0,0
19428,1,0,9.87,20,1.12,0,49.6,3.4,0,0
19463,1,0,9.87,12,1.09,0,46.0,2.4,0,0
19522,1,0,6.62,24,0.0,0,7.2,0.4,1,1
19592,1,1,9.86,15,1.12,0,39.5,4.0,0,0
19618,1,1,9.86,16,1.58,0,93.5,5.4,0,0
19652,1,0,4.93,21,0.24,0,0.0,0.0,0,1
19678,1,1,9.86,29,0.31,0,56.2,7.9,0,0
19789,0,0,7.13,13,0.0,0,6.3,0.4,7,1
19901,1,0,7.73,19,0.0,0,44.8,2.5,0,1
20013,1,1,5.05,0,0.0,0,1.8,0.2,6,1
20227,1,1,9.83,13,1.94,0,16.2,1.1,0,0
20228,1,1,9.83,10,1.23,0,19.4,2.8,0,0
20295,1,0,9.83,20,1.27,0,71.5,3.3,0,0
20445,1,0,9.82,21,0.52,0,9.4,2.2,0,0
20487,1,0,9.82,22,0.93,1,88.3,6.3,0,0
20585,1,1,9.81,17,1.66,0,20.1,5.4,0,0
20667,0,0,4.35,0,0.0,0,0.0,0.0,6,1
20821,1,0,9.8,20,1.07,0,5.3,1.0,0,0
20822,1,0,9.8,21,0.44,0,19.2,2.1,0,0
20842,1,1,4.85,23,0.27,0,0.0,0.0,0,1
20888,1,1,9.8,15,1.18,0,41.8,2.1,0,0
21019,1,1,9.67,12,0.0,0,101.8,6.1,0,1
21123,1,0,4.63,0,0.47,7,0.0,0.0,5,1
21158,1,1,9.78,10,1.1,1,139.9,17.3,0,0
21219,1,0,7.62,26,0.0,1,11.3,0.4,0,1
21401,1,0,9.77,19,1.9,0,15.2,1.4,0,0
21502,1,1,9.76,16,1.51,0,133.6,13.0,0,0
21524,1,1,9.38,12,0.36,0,40.8,7.3,0,1
21676,1,1,9.11,21,0.0,0,8.4,2.0,0,1
21783,1,1,9.75,16,1.8,0,91.9,26.1,0,0
21898,1,0,9.75,25,0.07,0,54.4,4.0,0,0
21992,1,1,9.74,16,1.63,1,68.2,4.0,0,0
22017,1,0,3.37,16,0.0,1,0.0,0.0,0,1
22043,1,1,9.73,15,1.3,0,10.2,1.4,0,0
22059,1,1,9.73,24,1.94,11,163.9,19.0,0,0
22104,1,0,8.59,19,0.0,0,53.4,1.8,0,1
22107,1,0,4.15,18,0.0,0,0.0,0.0,4,1
22147,1,1,9.73,17,1.59,1,19.4,0.9,0,0
22148,1,0,3.0,13,0.0,1,0.0,0.0,0,1
22202,1,0,6.35,14,0.0,0,40.9,3.5,0,1
22300,1,1,9.72,15,1.21,0,15.5,0.4,0,0
22354,0,0,5.67,20,0.0,0,29.3,2.9,0,1
22397,0,0,3.16,23,0.91,5,0.0,0.0,0,1
22679,1,0,9.71,22,0.58,1,98.0,11.7,0,0
22706,1,1,9.7,10,1.74,0,28.6,1.5,1,0
22847,1,0,3.67,23,0.01,2,0.0,0.0,0,1
22924,1,1,9.7,5,1.84,0,5.9,0.3,3,0
22950,1,0,9.69,22,1.97,0,179.0,8.5,0,0
22983,1,1,9.69,12,0.21,0,23.1,7.0,0,0
23034,1,0,10.03,23,0.0,0,32.0,4.3,0,1
23111,0,0,3.3,17,0.0,0,0.0,0.0,0,1
23293,0,0,3.02,0,0.93,0,0.0,0.0,6,1
23343,1,1,9.68,10,1.21,3,22.8,0.8,0,0
23655,1,1,9.67,12,0.09,0,31.3,1.8,0,0
23660,1,0,7.29,16,0.0,0,24.8,3.0,0,1
23718,0,0,6.84,25,0.0,0,174.1,6.1,0,1
23846,0,0,3.12,14,0.0,3,0.0,0.0,0,1
23949,1,0,3.24,0,1.57,0,0.0,0.0,1,1
23950,0,0,3.08,0,1.77,3,0.0,0.0,5,1
23983,1,1,3.49,23,1.45,0,0.0,0.0,0,1
24114,1,0,6.95,22,0.0,2,23.1,2.9,0,1
24146,1,0,9.61,8,1.07,0,132.5,5.5,0,0
24299,0,0,5.55,20,0.0,0,59.3,7.5,0,1
24327,1,0,4.72,16,0.0,1,0.0,0.0,0,1
24354,0,0,6.94,24,0.0,0,13.9,9.5,0,1
24467,1,1,9.58,21,0.18,0,163.3,8.0,0,0
24468,1,1,5.95,0,0.0,0,21.4,1.4,3,1
24558,1,1,9.93,11,0.77,0,53.4,4.9,0,1
24593,1,1,9.57,15,1.12,0,11.1,0.5,0,0
24597,0,0,4.81,19,0.0,0,0.0,0.0,0,1
24600,1,1,9.57,33,1.71,0,145.4,6.5,0,0
24636,1,1,9.21,20,0.0,0,127.3,7.3,0,1
24727,1,1,9.56,15,1.41,0,81.9,4.9,0,0
24751,0,0,3.68,23,0.0,3,0.0,0.0,0,1
24830,1,1,9.55,22,0.7,0,25.6,3.3,0,0
24989,0,0,3.3,0,0.0,2,0.0,0.0,0,1
25015,0,0,4.65,0,0.0,0,0.0,0.0,6,1
25071,1,0,9.53,22,0.07,0,33.7,1.6,0,0
25072,1,1,9.53,19,1.77,0,12.2,0.6,0,0
25272,1,1,9.52,25,0.08,0,60.0,4.3,0,0
25352,1,0,9.51,21,0.13,0,157.2,7.7,0,0
25413,1,0,9.51,11,1.61,1,21.5,1.4,0,0
25473,1,1,7.85,26,0.0,0,41.4,12.3,0,1
25739,1,1,9.48,19,1.86,0,16.1,3.3,0,0
25776,1,1,9.47,17,1.83,0,5.5,0.6,0,0
25784,0,0,4.63,7,0.0,0,0.0,0.0,0,1
25790,1,0,9.47,12,0.82,0,114.0,14.3,0,0
25835,1,0,8.78,27,0.0,0,3.7,0.1,0,1
25847,1,0,8.67,17,0.0,0,1.3,0.4,0,1
25867,1,0,8.42,20,0.0,0,29.7,2.8,0,1
25925,0,0,3.06,18,0.0,3,0.0,0.0,0,1
25982,1,1,9.46,17,1.66,2,84.3,8.4,0,0
25986,1,0,9.46,22,0.78,0,28.1,2.3,0,0
26034,1,0,9.45,21,0.44,0,115.5,8.4,0,0
26070,1,0,9.45,12,1.04,5,18.2,2.0,0,0
26136,0,0,6.47,10,0.0,0,1.8,0.3,2,1
26152,1,0,9.44,19,1.71,1,35.4,2.1,0,0
26266,1,0,9.44,22,1.0,0,94.0,4.6,0,0
26366,1,1,9.43,15,1.18,0,33.6,3.0,0,0
26367,1,1,9.43,18,1.84,1,79.0,6.1,0,0
26573,0,0,3.58,0,0.0,0,0.0,0.0,6,1
26661,0,0,3.82,0,0.01,0,0.0,0.0,0,1
26755,0,0,3.02,0,0.0,2,0.0,0.0,4,1
26879,1,1,9.41,17,1.75,0,115.8,6.1,0,0
26940,1,0,8.51,22,0.0,0,10.3,0.6,0,1
27062,1,0,9.4,20,1.13,0,77.4,3.3,0,0
27071,1,0,9.4,21,1.85,0,54.1,2.3,0,0
27088,1,0,7.53,26,0.0,0,66.6,1.6,0,1
27137,0,0,3.98,0,0.0,0,0.0,0.0,7,1
27172,1,1,9.4,21,0.19,1,166.0,15.3,0,0
27189,1,1,9.39,16,1.62,0,220.6,16.1,0,0
27259,1,0,7.27,25,0.0,0,87.5,3.8,0,1
27274,0,0,3.82,0,0.88,1,0.0,0.0,1,1
27293,1,0,9.39,22,1.32,0,6.8,0.3,0,0
27476,1,1,4.6,20,0.0,0,0.2,0.0,0,1
27523,1,0,9.38,22,0.9,1,23.3,2.2,0,0
27622,1,1,9.37,15,1.22,0,50.3,2.6,0,0
27640,0,0,3.19,21,1.49,0,0.0,0.0,0,1
27854,1,1,9.36,16,1.66,2,39.8,4.6,0,0
27904,1,1,9.36,28,1.05,0,124.8,9.9,0,0
27940,1,0,8.34,22,0.0,0,15.3,0.8,0,1
28038,1,1,8.75,20,0.0,0,107.5,5.1,0,1
28114,0,0,3.24,0,1.42,0,0.0,0.0,0,1
28308,1,0,7.97,22,0.0,1,80.2,4.5,0,1
28400,1,0,9.33,20,1.59,1,3.8,0.6,0,0
28565,1,1,9.32,21,0.14,0,232.9,14.8,0,0
28584,1,1,9.62,18,1.13,0,2.8,0.2,0,1
28587,1,1,9.32,16,1.58,1,96.0,4.6,0,0
28673,1,1,9.31,21,1.69,0,55.0,2.3,0,0
28694,1,0,9.31,21,0.38,0,10.4,2.7,0,0
28726,1,1,3.59,17,0.0,0,0.0,0.0,0,1
28881,1,1,9.3,20,0.53,1,185.0,15.2,0,0
29100,1,0,9.36,20,0.0,0,20.8,2.4,0,1
29102,1,1,9.07,24,0.0,1,57.9,10.2,0,1
29144,1,1,9.28,12,0.12,0,41.8,2.2,0,0
29315,1,1,9.27,17,1.68,0,49.8,6.4,0,0
29320,1,0,5.74,24,0.0,0,9.7,0.7,0,1
29421,1,1,9.94,22,0.9,0,13.2,1.9,0,1
29459,1,0,9.27,20,1.3,0,111.4,6.8,0,0
29556,1,0,9.32,12,0.0,0,35.4,1.9,0,1
29659,1,0,3.1,22,0.0,4,0.0,0.0,0,1
29668,1,0,7.38,17,0.0,0,9.8,1.6,0,1
29693,0,0,5.07,21,0.0,0,11.3,0.5,0,1
29694,1,1,9.26,15,1.31,0,46.5,1.9,0,0
29738,1,1,9.25,15,1.3,2,41.1,1.7,0,0
30025,1,1,9.24,21,0.28,0,36.9,2.9,0,0
30028,1,0,9.24,21,0.54,0,85.5,3.5,0,0
30071,0,0,3.2,23,0.0,0,0.0,0.0,0,1
30082,1,1,9.24,36,1.34,1,294.2,19.5,0,0
30141,1,1,5.58,13,0.0,0,17.9,0.5,0,1
30254,1,1,9.24,15,1.66,0,26.5,3.9,0,0
30278,1,1,9.24,24,1.22,0,0.0,0.0,0,0
30413,1,1,9.23,18,1.45,0,264.4,24.0,0,0
30583,1,1,9.22,17,0.14,0,120.0,5.9,0,0
30610,1,0,9.21,22,1.04,0,42.9,2.9,0,0
30678,1,0,5.17,19,0.0,1,20.3,1.8,0,1
30703,1,0,7.73,20,0.0,0,51.9,6.2,0,1
30825,1,0,7.68,15,0.0,0,49.4,3.2,0,1
30866,0,0,4.25,23,0.0,0,0.0,0.0,0,1
30920,1,0,9.34,15,0.0,0,25.3,5.3,0,1
30955,1,1,7.74,22,0.0,0,16.3,0.4,0,1
31250,1,1,9.41,21,0.0,0,1.1,0.1,0,1
31358,1,1,6.41,14,0.0,0,1.3,0.1,0,1
31438,0,0,4.39,23,0.1,1,0.0,0.0,0,1
31573,0,0,2.73,20,1.3,1,0.0,0.0,0,1
31574,1,1,9.17,25,0.01,0,54.4,7.0,0,0
31577,1,0,5.45,23,0.0,0,10.6,0.8,0,1
31581,1,1,9.17,24,0.85,0,102.7,6.9,0,0
31659,0,0,4.05,13,0.0,0,0.0,0.0,0,1
31726,0,0,3.03,0,0.0,0,0.0,0.0,0,1
31793,1,0,9.16,20,1.18,1,25.4,1.6,0,0
31863,1,1,9.16,21,0.22,1,4.5,0.5,0,0
31928,1,1,9.16,20,1.5,0,41.5,9.2,3,0
31956,0,0,2.86,12,0.0,0,0.0,0.0,3,1
31986,0,0,2.94,20,0.0,0,0.0,0.0,0,1
32062,0,0,2.78,0,1.69,3,0.0,0.0,3,1
32203,0,0,3.52,14,0.01,2,0.0,0.0,0,1
32207,1,1,9.15,20,0.3,0,151.9,6.8,0,0
32304,1,1,9.15,14,0.55,0,144.5,28.1,0,0
32343,1,1,8.93,2,0.0,0,1.6,0.1,0,1
32444,1,0,9.15,22,1.05,0,30.7,3.0,0,0
32460,1,1,9.15,22,0.07,0,74.4,6.4,0,0
32510,1,1,9.14,12,0.5,1,174.0,7.6,0,0
32537,1,0,3.32,22,0.0,0,0.0,0.0,0,1
32636,1,0,4.62,12,0.0,0,8.4,1.0,0,1
32638,1,1,9.14,19,1.89,0,24.7,2.3,0,0
32713,1,0,9.13,20,1.18,0,92.1,8.8,0,0
32852,1,0,9.13,21,0.31,1,105.8,4.9,0,0
32956,1,0,9.13,25,0.16,1,55.8,8.1,0,0
32973,1,1,9.13,24,1.2,1,138.4,11.3,0,0
32987,1,0,5.3,13,0.0,1,39.8,4.6,0,1
33065,1,1,5.0,15,0.0,0,12.5,1.9,0,1
